,date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
3279,2019-10-13,7839.573402066977,13808286058.98,56.9,0.0095907259861411,9.562658079764762e+19,541134,16.18085575,420149.0262269,-22.4,1.0,685047.2857142857,3.0,-329.8912866085411,-409.6957726540549
3280,2019-10-14,8235.250066248336,15151387859.02,53.05,0.0098182683525731,8.436980110567791e+19,693478,23.82030921,819498.09413952,-22.4,1.0,681690.2857142857,3.4,-306.91462402610705,-389.13954292846535
3281,2019-10-15,8211.678356671195,15220412631.58,46.24,0.0087959380775357,9.117307191652283e+19,707902,25.89458072,744690.32265761,-23.5,1.0,677059.2857142857,3.4,-298.92214242122463,-371.0960628270173
3282,2019-10-16,8091.400824039978,16071646995.52,40.48,0.0068841955323226,8.89104358643756e+19,737755,29.13647841,1042846.11312805,-23.5,1.0,678723.9285714285,3.4,-301.8451272309485,-357.2458757078035
3283,2019-10-17,8371.34157209136,14313052244.08,45.65,0.0060265615460525,1.0052612703241352e+20,727633,25.40381954,1019688.84688177,-23.5,1.0,680358.7142857143,3.4,-296.1974748894954,-345.0361955441419
3284,2019-10-18,7887.785000797236,15651592610.22,43.82,0.0046367754002766,1.0442592110396518e+20,675687,24.94346328,1019593.29053305,-23.5,1.0,677706.7857142857,3.4,-298.8237303606711,-335.7937025074478
3285,2019-10-19,8019.162170545962,13797825640.24,45.65,0.0039599128240733,9.619652682537524e+19,632136,18.30723571,845358.36243913,-23.5,1.0,677587.0714285715,3.4,-296.2511988302176,-327.8852017720018
3286,2019-10-20,7883.994481124358,15504249442.11,56.9,0.0054150594410797,8.344628215308919e+19,568261,15.84344804,747813.35365823,-23.5,1.0,677915.9285714285,3.4,-272.2313986358131,-316.75444114476403
3287,2019-10-21,8541.302689437696,15868748865.71,50.25,0.0066155390463592,1.013075238505372e+20,736587,20.63255238,896815.46833601,-23.5,1.0,677931.7142857143,4.5,-248.58361729141143,-303.1202763740935
3288,2019-10-22,8199.538724749293,16803377856.54,45.65,0.006208636433202,1.1418199150923343e+20,725908,22.21592037,1139190.5055934,-23.5,1.0,678384.4285714285,4.5,-240.42699204983,-290.58161950924085
3289,2019-10-23,7240.761404786897,21942878957.54,21.26,0.0015256543442566,1.0593799570246056e+20,744124,31.07041069,1332394.46611025,-23.5,1.0,681526.2857142857,4.5,-276.2506295068269,-287.7154215087581
3290,2019-10-24,7347.328207112217,16268708848.76,20.63,-0.0016167464892768,9.22195277403544e+19,713976,28.9599249,999075.60501727,-23.5,1.0,681367.1428571428,4.5,-302.8592610076994,-290.7441894085464
3291,2019-10-26,8834.634547839814,44496255608.75,63.64,0.0137932746327944,9.187092500905938e+19,767830,47.8563533,1003012.25955916,-23.5,1.0,694038.2142857143,4.5,-118.62613483844508,-246.14457548518243
3292,2019-10-27,9432.306481648246,32593129500.74,67.0,0.0199638340899075,9.48426924083802e+19,591948,33.97050101,682529.07912346,-23.5,1.0,697667.7857142857,4.5,-7.783509488412164,-198.4723622858284
3293,2019-10-28,9124.56736097578,30948255331.82,61.24,0.0219566148236047,8.063284018299529e+19,752667,37.98415405,1942400.80575252,-23.5,1.0,701895.5714285715,3.5,55.5697438668376,-147.66394105529525
3294,2019-10-29,9416.842537700697,28426779937.41,65.64,0.0225650404543122,9.61307532095366e+19,727812,35.47022733,1500072.94032624,-23.5,1.0,703317.7142857143,3.5,118.2562485946637,-94.47990312530344
3295,2019-10-30,8986.145665885113,27706531577.46,64.66,0.0210995246434987,8.331719282066637e+19,725866,33.65141019,2022162.75822515,-23.5,1.0,702468.5,3.5,148.3156648671793,-45.920789526806885
3296,2019-10-31,8912.516369386276,26583653946.63,64.03,0.0187492925159505,9.804971417749163e+19,703136,35.46517509,1414193.65330295,-23.5,1.0,700718.7142857143,3.5,169.6863442899521,-2.799362763455086
3297,2019-11-01,9481.02212146562,24324691031.33,66.78,0.0166030228828792,8.370699831774686e+19,795073,40.18774408,1251686.48721382,-23.5,1.0,709246.2857142857,3.5,189.4035465827801,35.641219105791954
3298,2019-11-02,9631.44217078944,21242676385.33,67.21,0.0147673237094529,9.756169525018812e+19,630458,27.69024942,844201.44129237,-23.5,1.0,709126.4285714285,3.5,207.7676262433979,70.06650053331315
3299,2019-11-03,9004.941500363157,21132220847.49,63.64,0.0123518850275902,8.579950245902595e+19,626683,26.0661656,825415.30649417,-23.5,1.0,713299.4285714285,3.5,212.6590526085729,98.5850109483651
3300,2019-11-04,10132.865631462493,26170255634.42,65.16,0.0110169675686977,9.12151952728006e+19,743527,48.28785176,947877.81856089,-23.5,1.0,713795.1428571428,3.5,228.2080605986248,124.50962087841704
3301,2019-11-05,9218.642415964527,26198609047.84,66.78,0.0092214233340296,9.818365874651724e+19,792806,43.73232482,1159501.59646382,-23.5,1.0,718573.5714285715,3.5,232.1988685419583,146.04747041112532
3302,2019-11-06,9100.202878100543,23133895764.61,78.45,0.0075288643826411,9.05443797592839e+19,837366,38.66539842,1407677.71348571,-23.5,1.0,725233.7142857143,3.5,234.14346460944944,163.66666925079014
3303,2019-11-07,9327.609298280995,22700383838.52,76.85,0.0053423164460522,9.27187866562751e+19,786049,39.73640604,1372346.52331713,-23.5,1.0,728228.3571428572,3.5,225.5544746339565,176.0442303274234
3304,2019-11-09,8805.280685961588,17578630605.92,40.12,-0.0031689069007469,7.963687000876419e+19,728794,29.44260954,1046203.71046873,-23.5,1.0,729286.7857142857,3.5,141.79276790749282,169.72219027012056
3305,2019-11-10,9297.234958635867,20587919881.03,37.89,-0.0035043220949555,9.409214789844232e+19,585403,23.86642196,683212.29468831,-23.5,1.0,716256.2857142857,3.5,130.05534021497988,161.78882025909243
3306,2019-11-11,8914.027441121823,20265510765.31,38.27,-0.0060437835897901,9.62850569136504e+19,698259,29.56238739,795319.52314153,-23.5,1.0,711902.5,3.2,95.6260969158884,148.55627559045163
3307,2019-11-12,9101.987932259406,20309769107.26,34.21,-0.0069310896317398,8.864505052546512e+19,678947,28.65525709,1018186.96219226,-1.0,1.0,708412.1428571428,3.2,72.17859156206032,133.28073878477338
3308,2019-11-14,8837.64446246318,19084739974.57,36.31,-0.0081575530185964,8.569773532677834e+19,748620,29.64079727,1214798.02652346,-1.0,1.0,710037.4285714285,3.2,28.30769292579316,99.34444035562188
3309,2019-11-15,8569.600376312104,21796856471.09,30.07,-0.0101243899391809,1.0813128137219568e+20,764270,29.64859081,1278485.2544124,-1.0,1.0,711086.0714285715,3.2,-8.12585776105334,77.85038073228684
3310,2019-11-16,9325.26937553119,16495389808.41,29.58,-0.0102671897814174,8.967168967493591e+19,681643,22.93336843,693209.5067193,-1.0,1.0,714742.1428571428,3.2,-31.889971034664995,55.90231037889647
3311,2019-11-17,8622.65526406991,18668638896.63,32.43,-0.0096877359207387,9.25395862199399e+19,596015,21.08122965,630185.38375504,-1.0,1.0,712551.5714285715,3.2,-47.97414475439473,35.12701935223824
3312,2019-11-18,8518.090557862402,21579470673.41,21.26,-0.0112250275231755,1.0250714376628352e+20,687888,27.82718296,1328899.48523389,-1.0,1.0,708577.3571428572,3.9,-81.46293547504501,11.809028386781584
3313,2019-11-19,8437.271402740622,21083613815.95,21.26,-0.0123623407777706,8.090780712165378e+19,831638,34.36839889,954955.33494229,-1.0,1.0,711351.0714285715,3.9,-114.99993700233426,-13.552764691041586
3314,2019-11-20,7977.468520781427,20764300436.84,18.7,-0.0140203616116444,9.888208573746337e+19,701261,27.36373955,798757.54438685,-1.0,1.0,701629.2857142857,3.9,-154.23426909713635,-41.68906557226054
3315,2019-11-21,7940.985012877007,22514243371.47,16.67,-0.0180249803001178,8.491068014237794e+19,793352,36.85944226,1614784.04891247,-1.0,1.0,702150.9285714285,3.9,-213.88958706534504,-76.12916987087745
3316,2019-11-22,7133.592754323689,34242315784.81,17.36,-0.0229890043068406,8.419618811145863e+19,808615,40.02095823,1571614.85402682,-1.0,1.0,707852.4285714285,3.9,-285.80548630317026,-118.064433157336
3317,2019-11-23,7769.234472618408,21008924417.7,20.63,-0.0230072721954136,1.1681262936957218e+20,673384,21.5480276,1008656.14121404,-1.0,1.0,714136.7857142857,3.9,-330.81833938017644,-160.6152144019041
3318,2019-11-24,6885.638065370157,30433517289.47,9.91,-0.0260627643115241,9.12536793019365e+19,559885,17.0147224,822768.91980717,-1.0,1.0,712314.0714285715,3.9,-390.2254601225577,-206.53726354603484
3319,2019-11-25,6900.2263831190585,42685231261.74,15.25,-0.0243992346355149,8.519729116824619e+19,665242,32.18493307,1314931.11873055,-1.0,1.0,709955.7142857143,3.9,-424.4875108149372,-250.12731299981533
3320,2019-11-26,7400.54468978998,21129505542.49,15.97,-0.0211242876025978,7.468278434649814e+19,785860,39.86894065,1171245.2915116,-1.0,1.0,717592.3571428572,3.9,-440.7310031107336,-288.248051021999
3321,2019-11-28,7407.834181907998,19050116751.27,26.47,-0.0102106951073882,8.810936683837455e+19,703993,26.17198877,762824.33477005,-1.0,1.0,714404.7142857143,3.9,-410.5413836078296,-334.33788237767743
3322,2019-11-29,7645.611808931211,19709695455.78,36.71,-0.0038791668710004,8.84556302529795e+19,735141,32.70649438,989795.40716951,-1.0,1.0,709136.4285714285,3.9,-371.971831199623,-341.8646721420665
