date,value
2011-01-24,2090
2011-01-25,1410
2011-01-26,1771
2011-01-27,1472
2011-01-28,1790
2011-01-29,2012
2011-01-30,3365
2011-01-31,2089
2011-02-01,1901
2011-02-02,1491
2011-02-03,1273
2011-02-04,1505
2011-02-05,1514
2011-02-06,1345
2011-02-07,1389
2011-02-08,1472
2011-02-09,2127
2011-02-10,3556
2011-02-11,4302
2011-02-12,3312
2011-02-13,3244
2011-02-14,4141
2011-02-15,3347
2011-02-16,2995
2011-02-17,3527
2011-02-18,3589
2011-02-19,2904
2011-02-20,3176
2011-02-21,3317
2011-02-22,3759
2011-02-23,3811
2011-02-24,3644
2011-02-25,3465
2011-02-26,3482
2011-02-27,3685
2011-02-28,3029
2011-03-01,5342
2011-03-02,3528
2011-03-03,4893
2011-03-04,3311
2011-03-05,3547
2011-03-06,3340
2011-03-07,3410
2011-03-08,3893
2011-03-09,3353
2011-03-10,2916
2011-03-11,3072
2011-03-12,3286
2011-03-13,2864
2011-03-14,2899
2011-03-15,3265
2011-03-16,3221
2011-03-17,3133
2011-03-18,3336
2011-03-19,2955
2011-03-20,4447
2011-03-21,4824
2011-03-22,3967
2011-03-23,6561
2011-03-24,4450
2011-03-25,4172
2011-03-26,4838
2011-03-27,4933
2011-03-28,5444
2011-03-29,4473
2011-03-30,3574
2011-03-31,4121
2011-04-01,3259
2011-04-02,3350
2011-04-03,3571
2011-04-04,4753
2011-04-05,4246
2011-04-06,3806
2011-04-07,3454
2011-04-08,3674
2011-04-09,3584
2011-04-10,3547
2011-04-11,4109
2011-04-12,4258
2011-04-13,4764
2011-04-14,6169
2011-04-15,4150
2011-04-16,5128
2011-04-17,4418
2011-04-18,5632
2011-04-19,6311
2011-04-20,5358
2011-04-21,4042
2011-04-22,4237
2011-04-23,4979
2011-04-24,4821
2011-04-25,5053
2011-04-26,6053
2011-04-27,7488
2011-04-28,6130
2011-04-29,6915
2011-04-30,8113
2011-05-01,7423
2011-05-02,5974
2011-05-03,6123
2011-05-04,6335
