date,value
2011-07-09,11771078.322715016
2011-07-10,14133294.923332287
2011-07-11,14186654.802424865
2011-07-12,11587057.681128044
2011-07-13,11333155.38854183
2011-07-14,10526924.42796805
2011-07-15,9167724.55878687
2011-07-16,8917300.499381067
2011-07-17,9826292.732211899
2011-07-18,38081831.54519589
2011-07-19,12808053.354149394
2011-07-20,10942790.88134182
2011-07-21,10431027.410216443
2011-07-22,12746663.457826948
2011-07-23,8542168.757351302
2011-07-24,9078724.842131792
2011-07-25,14018481.586368853
2011-07-26,13612603.997680016
2011-07-27,11077410.960168904
2011-07-28,20331676.93502106
2011-07-29,12672974.678285372
2011-07-30,9174548.684503691
2011-07-31,10433717.730202736
2011-08-01,17012241.071731877
2011-08-02,12176974.140239976
2011-08-03,15310952.631686592
2011-08-04,13233344.786620034
2011-08-05,14730504.412470965
2011-08-06,8759752.521655167
2011-08-07,9498098.367902856
2011-08-08,13681628.982478593
2011-08-09,6685328.660094833
2011-08-10,7295101.650604851
2011-08-11,6631297.970872404
2011-08-12,5753625.800837874
2011-08-27,104583460.4717702
2011-08-28,3265809.240946221
2011-08-29,4327639.832036212
2011-08-30,3992023.353960281
2011-08-31,4246218.556981033
2011-09-01,4266617.695473302
2011-09-02,4001903.4235170926
2011-09-03,3005812.7947939234
2011-09-04,5354594.15524907
2011-09-05,5637291.638615829
2011-09-06,5519837.55086347
2011-09-07,8431994.424140815
2011-09-08,3269738.303424712
2011-09-09,7341072.95959587
2011-09-10,1994381.2830190423
2011-09-11,31277017.279648293
2011-09-12,4374479.3569031255
2011-09-13,2402571.063919864
2011-09-14,2736440.103139171
2011-09-15,2438412.006948983
2011-09-16,2235061.0514690713
2011-09-17,1794089.2443237638
2011-09-18,1494490.956602114
2011-09-19,1946628.2469942982
2011-09-20,3106122.8276711735
2011-09-21,4532972.558777793
2011-09-22,2634952.4220430935
2011-09-23,2311369.533627943
2011-09-24,1925158.5435801938
2011-09-25,1737896.3069929816
2011-09-26,1741112.0038736816
2011-09-27,2391397.693389964
2011-09-28,1576203.549310071
2011-09-29,1260609.7617535612
2011-09-30,1540931.4031065924
2011-10-01,2137552.425905271
2011-10-02,1386751.5168637284
2011-10-03,1545340.118618728
2011-10-04,2007412.9293238984
2011-10-05,2184972.226280183
2011-10-06,3434430.9973324933
2011-10-07,3065005.560862636
2011-10-08,1308868.9953931568
2011-10-09,1456994.2619902422
2011-10-10,1169268.2963492838
2011-10-11,1531156.7699629974
2011-10-12,1204780.4679021018
2011-10-13,1265187.373483831
2011-10-14,1606342.0208081095
2011-10-15,1117948.4282111558
2011-10-16,946890.21945965
2011-10-17,1519825.2973099814
2011-10-18,1087104.3366886869
2011-10-19,783017.506393498
2011-10-20,595850.3618041334
2011-10-21,626172.1089636426
2011-10-22,879963.1115598622
2011-10-23,1100472.0805809763
2011-10-24,1333378.7239728859
2011-10-25,905383.0428325677
2011-10-26,1047470.1926370127
2011-10-27,664410.6289688533
2011-10-28,1290179.6680380031
2011-10-29,2296276.9392916122
2011-10-30,792056.2422552152
2011-10-31,1403072.6256205905
2011-11-01,1183276.5466909509
2011-11-02,1523485.2725833387
2011-11-03,1272922.3674367096
2011-11-04,1460294.6517914403
2011-11-05,993513.0553981203
2011-11-06,643724.7692313098
2011-11-07,685420.6080694982
2011-11-08,1547956.1080057025
2011-11-09,2748749.5243586763
2011-11-10,1278042.7555656391
2011-11-11,1119510.7999919786
2011-11-12,1191943.2039536072
2011-11-13,656586.2883680402
2011-11-14,1300119.0584035486
2011-11-15,1291080.0050296122
2011-11-16,10533163.370719355
2011-11-17,18047187.65625804
2011-11-18,12518558.081298716
2011-11-19,15576592.58656964
2011-11-20,884930.9694665325
2011-11-21,27231459.63117562
2011-11-22,27751621.278409176
2011-11-23,6464838.906780733
2011-11-24,1057880.6336040362
2011-11-25,1176745.2236828923
2011-11-26,1110773.8822565589
2011-11-27,6866444.515462124
2011-11-28,16942428.80956408
2011-11-29,21298030.068462107
2011-11-30,66284524.90446694
2011-12-01,15314487.927200928
2011-12-02,45973041.53961006
2011-12-03,34273303.654584125
2011-12-04,25068725.74147455
2011-12-05,24795410.549850848
2011-12-06,51215134.54789654
2011-12-07,52913820.73833323
2011-12-08,32353157.74845139
2011-12-09,8586766.896432051
2011-12-10,2971574.5244798707
2011-12-11,3054614.908933183
2011-12-12,3579435.604758559
2011-12-13,1570875.160712425
2011-12-14,1528391.2908629589
2011-12-15,1607305.7554025117
2011-12-16,1870693.0030525438
2011-12-17,1511323.7912531323
2011-12-18,838355.1242968633
2011-12-19,2026850.8606588119
