date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,active-count_smoothed,gesi_value,MACD,Signal_Line
2023-04-20,28245.9873104934,21340360359.79,53.02,-0.008460356982580148,319518832.0,951443.0,4050944568.931296,114422928889545.56,993662.2857142857,0.0711,688.7218284961455,927.6929644683486
2023-04-21,27276.9096875756,20759504329.87,47.4,-0.013336076174448588,351118489.0,1015546.0,3574778822.6395483,97508919098196.8,997889.7142857143,0.0711,472.98428272202,836.7512281190828
2023-04-22,27817.5009174373,13125734602.38,50.59,-0.014237314477108437,360804517.0,914896.0,1388897603.2660651,38635660353080.24,999972.3571428572,0.0711,341.6930924580738,737.7396009868811
2023-04-23,27591.3846319068,12785446832.04,47.03,-0.015101574303008054,355961503.0,840711.0,1135637672.6980305,31333815829894.844,993158.0,0.0711,216.8979195598622,633.5712647014773
2023-04-24,27525.3394995911,17703288330.24,36.93,-0.015176929454011286,341432464.0,998948.0,2117557490.949825,58286488848296.24,996845.2142857143,0.0711,111.38359497272177,529.1337307557262
2023-04-25,28307.5980906654,17733373139.17,38.72,-0.012414617064660153,302688355.0,895988.0,2588478713.9496126,73273615100728.08,978976.7857142857,0.0711,89.84874286083141,441.27673317674726
2023-04-26,28422.7008784923,31854242019.49,40.21,-0.010136741205868554,314795889.0,893248.0,2963529477.807014,84231511892303.23,967312.9285714285,0.0711,81.13477920538571,369.24834238247496
2023-04-27,29473.7861836728,27153445027.31,44.24,-0.0057547569467810335,314795889.0,892914.0,2759095405.121972,81320988030919.1,958973.2857142857,0.0711,157.23024764693764,326.84472343536754
2023-04-28,29340.262498158,17544464887.25,42.94,-0.003338450808372802,355961503.0,957827.0,2242009223.6435246,65781139144992.44,954815.0714285715,0.0711,204.4059446168103,302.3569676716561
2023-04-29,29248.4883729176,10662634332.91,43.4,-0.0019321458619988034,331746436.0,803633.0,1392685430.2644625,40733943614221.88,937527.4285714285,0.0711,231.71653544734,288.22888122679285
2023-04-30,29268.8070431626,14652199272.27,43.56,-0.0009876710280124076,358383012.0,767567.0,930842814.8253764,27244658734638.28,932282.7857142857,0.0711,252.09394030052135,281.00189304153855
2023-05-01,28091.5688038924,18655599976.36,42.17,-0.0031248196474837108,440714244.0,929691.0,2578412163.433788,72431642693893.31,928386.2857142857,0.072,171.27553538273423,259.0566215097777
2023-05-02,28680.5369679129,16432924526.63,39.58,-0.0029586333602486773,312374380.0,820724.0,2767795701.605001,79381866939512.66,904919.1428571428,0.072,152.98762968088704,237.8428231439996
2023-05-03,29006.3076709086,19122972518.31,51.87,-0.0020668433314776093,341432464.0,953701.0,2422988601.261196,70281952851286.734,902631.2142857143,0.072,162.903456168493,222.85494974889826
2023-05-04,28847.7115906552,15548678513.55,55.13,-0.0018494547757274152,351712781.0,914598.0,2761594919.1768866,79665693758633.58,899999.4285714285,0.072,156.16427728621784,209.5168152563622
2023-05-05,29534.384019705,17936566518.34,69.23,-0.0001526324982383304,283977798.0,822037.0,2510385337.6027164,74142684598195.4,886177.3571428572,0.072,203.88193173528998,208.38983855214778
2023-05-06,28904.6239490708,15913866714.47,59.18,-0.0005447707344215803,355568839.0,764917.0,1400151899.5226257,40470864127278.66,875464.5714285715,0.072,188.70684703100414,204.45324024791904
