date,close,volume,rsi,MACD_Cross_Power_Normalized,hash-rate,active-count,total_fee,transfer_count,zew_mood_index,zew_state,active-count_smoothed,gesi_value,MACD,Signal_Line
2014-01-08,842.7199707031,74175600.0,82.7,0.032304449388984455,1.3981309570823562e+16,145049,14.12498292,794209.82990179,68.3,1.0,131323.64285714287,1.9,204.7702261122438,177.54662146957904
2014-01-08,842.7199707031,74175600.0,82.7,0.032304449388984455,1.2632909849878308e+16,145049,14.12498292,794209.82990179,68.3,1.0,132816.5,1.9,204.7702261122438,177.54662146957904
2014-01-09,846.8599853516,59998600.0,83.66,0.018951424232197193,1.2958357929781762e+16,132972,12.80728921,592323.17028736,68.3,1.0,134133.0,1.9,197.60812502916713,181.55892218149665
2014-01-10,868.4799804688,31876800.0,86.86,0.009129143186751626,1.5034486029943876e+16,124371,12.53797561,564664.0715192,68.3,1.0,133881.7857142857,1.9,191.46951980215533,183.5410417056284
2014-01-11,913.950012207,44754200.0,95.41,0.003995211698922698,1.4818651868094738e+16,128823,12.25450903,419766.14731706004,68.3,1.0,133948.57142857142,1.9,188.10532143187834,184.4538976508784
2014-01-11,913.950012207,44754200.0,95.41,0.003995211698922698,1.3274266154365432e+16,128823,12.25450903,419766.14731706004,68.3,1.0,132409.92857142858,1.9,188.10532143187834,184.4538976508784
2014-01-12,863.2199707031,39623500.0,84.52,-0.004795844074908549,1.387023549978758e+16,114282,11.79779395,416360.21687443,68.3,1.0,132234.7857142857,1.9,179.2790621735794,183.4189305554186
2014-01-13,841.200012207,45580900.0,79.92,-0.014127125701529502,1.503734054779684e+16,150180,11.99050639,525508.66666127,68.3,1.0,136205.57142857142,2.4,168.56425766469806,180.4479959772745
2014-01-14,833.2700195313,20829800.0,77.22,-0.02192046260579955,1.4754269135883644e+16,129740,16.08978681,744941.41015337,68.3,1.0,135812.57142857142,2.4,157.61591559768738,175.8815799013571
2014-01-14,833.2700195313,20829800.0,77.22,-0.02192046260579955,1.4096324595150968e+16,129740,16.08978681,744941.41015337,68.3,1.0,135003.7857142857,2.4,157.61591559768738,175.8815799013571
2014-01-15,860.9000244141,28107200.0,79.84,-0.024565467998078638,1.5018371843688732e+16,130805,16.85023545,601022.49301228,68.3,1.0,136091.35714285713,2.4,149.44606490224498,170.59447690153468
2014-01-16,835.6300048828,19149300.0,74.55,-0.029934993299600362,1.8977562763459428e+16,130710,13.24725593,600638.60093318,68.3,1.0,135839.57142857142,2.4,139.32625365514514,164.34083225225677
2014-01-17,814.6400146484,39031700.0,69.23,-0.03555473214312757,1.5178066741355486e+16,128263,14.670295170000001,422366.54737546,68.3,1.0,135413.0,2.4,128.13544785988506,157.09975537378244
2014-01-18,840.0,18052700.0,69.88,-0.03539928295392544,1.3217063000655574e+16,106150,12.72316648,353520.45689459,68.3,1.0,130354.07142857143,2.4,119.93050827216075,149.66590595345812
2014-01-19,870.9600219727,24365700.0,69.51,-0.032204236580408614,1.5836328237688262e+16,108455,11.42147877,562834.8663299601,68.3,1.0,127740.21428571429,2.4,114.60515270384974,142.65375530353646
2014-01-19,870.9600219727,24365700.0,69.51,-0.032204236580408614,1.518582595311378e+16,108455,11.42147877,562834.8663299601,68.3,1.0,125126.35714285714,2.4,114.60515270384974,142.65375530353646
2014-01-20,870.200012207,27652700.0,62.83,-0.030878012816003775,1.6436190949866402e+16,178427,15.27797507,779540.0246048201,68.3,1.0,128373.14285714286,2.1,109.06619639176847,135.93624352118286
2014-01-21,863.9099731445,18997300.0,59.84,-0.030516489361107957,1.6342589660221194e+16,157839,15.5990746,617940.20883579,73.3,1.0,130763.71428571429,2.1,102.98186914065889,129.34536864507808
2014-01-22,845.5900268555,18453700.0,49.75,-0.031944960809024495,1.5197584726545764e+16,150561,14.78206656,488261.11430646,73.3,1.0,132316.42857142858,2.1,95.57994330957695,122.59228357797787
2014-01-23,822.0399780273,15607100.0,45.36,-0.034820142437301055,1.6975898138983954e+16,149153,16.79639116,508356.23512329,73.3,1.0,133768.57142857142,2.1,86.81284717289486,115.43639629696128
2014-01-23,822.0399780273,15607100.0,45.36,-0.034820142437301055,1.6013528250604876e+16,149153,16.79639116,508356.23512329,73.3,1.0,136259.35714285713,2.1,86.81284717289486,115.43639629696128
2014-01-24,797.0700073242,34912000.0,38.65,-0.03861501045134583,1.7478285812106676e+16,140660,15.28913391,743133.16835681,73.3,1.0,135579.35714285713,2.1,76.96281296786344,107.74167963114172
2014-01-25,853.6099853516,24303900.0,40.48,-0.03267336416745962,1.7154729062780354e+16,124761,11.853037480000001,459643.42063335003,73.3,1.0,135223.7142857143,2.1,72.87879224567587,100.76910215404857
2014-01-26,885.2800292969,32224300.0,53.27,-0.026562608481508085,1.7055926509317506e+16,124218,11.74920813,395311.22915226,73.3,1.0,134829.2857142857,2.1,71.37491863565913,94.89026545037069
2014-01-28,812.5100097656,44875500.0,61.54,-0.030829897657831222,1.964137832154171e+16,156954,14.15795644,644505.3790613,73.3,1.0,136697.07142857142,1.7,63.57826489157458,88.62786533861147
2014-01-29,826.0,17984400.0,65.03,-0.029836807653087404,1.6851153004453264e+16,138883,13.313253210000001,481711.54154339,73.3,1.0,137280.85714285713,1.7,57.821361436798725,82.46656455824892
2014-01-29,826.0,17984400.0,65.03,-0.029836807653087404,1.717200053827241e+16,138883,13.313253210000001,481711.54154339,73.3,1.0,138039.42857142858,1.7,57.821361436798725,82.46656455824892
2014-01-30,819.0300292969,29918200.0,60.63,-0.02966488498103093,1.829438703953841e+16,149694,13.29500605,526774.90760093,73.3,1.0,141149.7142857143,1.7,52.09602503937026,76.3924566544732
2014-01-31,829.9199829102,17107900.0,66.89,-0.02747933995415678,1.9421404396726384e+16,147160,14.37916749,404576.50507151004,73.3,1.0,143914.35714285713,1.7,47.885389973051474,70.69104331818885
2014-02-01,832.5800170898,19668700.0,71.75,-0.025403530616675277,2.093336949424523e+16,133917,11.42304608,447927.17559325,73.3,1.0,145733.07142857142,1.7,44.252953374472895,65.40342532944565
2014-02-02,825.3699951172,11300900.0,67.43,-0.02430508869693413,2.04815266577908e+16,132776,10.80299217,488027.6127977,73.3,1.0,142472.2857142857,1.7,40.32756165555611,60.38825259466775
2014-02-02,825.3699951172,11300900.0,67.43,-0.02430508869693413,2.081436926293478e+16,132776,10.80299217,488027.6127977,73.3,1.0,140682.07142857142,1.7,40.32756165555611,60.38825259466775
2014-02-03,823.8300170898,13940100.0,63.37,-0.02303248039208366,2.149369417658733e+16,170376,12.14407582,477886.5082333,73.3,1.0,142097.42857142858,1.6,36.6696917008793,55.644540415910065
